,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
45,45,2010,50,14699.048921300517,19898.122151321782,20.419325432999088,38.07353388027955,9.146156183530842,96.90063810391977,0.5773321178972957,0.15192950470981464,0.3646308113035551,0.030385900941962928,3291,49.13400182315406,57.03433606806442,60.89334548769371,8.568824065633546,73.87153827641015,DEMOCRAT,VERMONT,2005.0,1,66.03630693129419,43788.91,26.128461723589854,10.687135867957899,1
46,46,2010,51,19217.152774139468,30886.568344946823,22.452454550217425,43.62655210352596,12.165348142714937,75.32875779326243,15.2433593545345,0.34054592130769634,0.9378110756011945,0.13883795253313774,38174,48.381097081783416,63.17912715460785,60.60669565672971,6.0014669670456335,62.21847814078535,DEMOCRAT,VIRGINIA,,0,59.11249545738013,53216.53,37.78152185921465,10.882124341353762,1
47,47,2010,53,16544.703047668663,28159.691977077364,22.727272727272727,42.7780672050013,12.415342537119042,82.69080489710862,2.4257619171659286,1.2926543370669445,1.5238343318572545,0.5991143526960145,30712,47.54167752018755,63.040505339932274,60.85243553008596,6.713988017712946,58.7531392784283,DEMOCRAT,WASHINGTON,2018.0,0,55.9311725670246,54204.82,41.2468607215717,10.900525113363008,1
48,48,2010,54,12919.468881928367,22152.49080757184,21.448999046711155,42.82990603295656,11.1807163284761,95.21993735530437,2.2742748195560396,0.1361841209314994,0.1770393572109492,0.054473648372599756,7343,47.77338962276998,48.127468337191885,61.86844613918017,8.797494212174861,58.32061502317573,REPUBLICAN,WEST VIRGINIA,,0,48.50827686441798,35593.9,41.67938497682427,10.479929553843716,0
49,49,2010,55,14585.539648730752,21951.44208945843,21.606899682251477,42.599252767205556,11.952232969028248,94.32941094311953,2.231223157233144,0.6354970494779846,0.19902929571563252,0.031425678270889344,28639,48.685359125667794,52.875449561786375,63.87792869862775,6.910157477565558,66.44456245421367,DEMOCRAT,WISCONSIN,,0,60.212900783722034,45063.5,33.55543754578633,10.71582788518191,1
50,50,2010,56,13168.353196099675,25657.43950884796,23.004694835680752,39.94221740700614,13.326110509209101,94.14951245937162,0.39725532683279163,1.733477789815818,0.03611412062116288,0.10834236186348863,2769,45.97327555074034,57.16865294330083,63.199711087035034,11.087035030697002,51.32372305334121,REPUBLICAN,WYOMING,,0,68.20865461772692,66752.59,48.6762769466588,11.108748377007865,0
51,51,2011,1,14093.696088684375,23141.538067349928,21.84689395523949,44.35787492156452,11.624137209788747,75.0104580631667,21.51746496548839,0.5333612215017779,0.22484835808408282,0.020916126333403055,19124,48.55678728299519,54.49696716168166,60.688140556368964,6.180715331520602,60.90215804872958,REPUBLICAN,ALABAMA,,0,52.044152459704286,38325.27,39.09784195127041,10.553864748724983,0
52,52,2011,2,14453.382066276805,26522.826510721246,26.31578947368421,41.4554905782976,14.00259909031839,62.11825860948668,2.014294996751137,24.139051332033787,0.4548408057179987,0.29239766081871343,3078,45.93892137751787,53.18388564002599,54.3859649122807,10.038986354775828,54.49412437409096,REPUBLICAN,ALASKA,,0,62.34714798525366,78799.59,45.50587562590905,11.27466307278675,0
53,53,2011,4,15571.313458131115,23971.38587165858,24.316308450812727,42.45050458362222,12.052230182574531,80.10553886449426,3.2200909020876667,6.105076650489177,0.6355442569909868,0.16562668515522688,25962,47.931592327247515,60.20722594561282,54.48347584931823,6.262999768892997,64.95791916870819,REPUBLICAN,ARIZONA,,0,50.036101495717254,40305.22,35.042080831291806,10.604236268082659,0
54,54,2011,5,13013.448187194652,19543.71217965201,22.39650295705837,42.410216850947116,11.81966229536299,83.3804748435759,12.479643438758893,0.5828404902717065,0.188566040970258,0.03428473472186509,11667,48.72717922345076,47.36436101825662,61.06968372332219,7.362646781520528,66.58636838063772,REPUBLICAN,ARKANSAS,,0,53.108732359119465,35970.56,33.41363161936227,10.490456105097811,0
